if father deceased,MOTHER_IDENTITY,father's forename,death code A,father's occupation,month,FATHER_BIRTH_RECORD_IDENTITY,mar,year,SPOUSE_BIRTH_RECORD_IDENTITY,occupation,mother's occupation,BIRTH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,father's surname,day,marital status,death code B,Birth,forename(s) of deceased,if mother deceased,age at death,FATHER_IDENTITY,mother's forename,SPOUSE_MARRIAGE_RECORD_IDENTITY,mother's maiden surname,name of spouse,SPOUSE_IDENTITY,spouse's occ,death code C,address,sex,ID,MOTHER_BIRTH_RECORD_IDENTITY,notes1,DECEASED_IDENTITY,surname of deceased
D,1608,Robert,A09.03,,MARCH,1599,901,1880,3180, ,,2382,554,Fernandez,20,M,,2382,Mary,,46,1599,Viktoria,901,Ilves,Aaron Boykohighlanders),3180,CROFTER,,"1 Dalmarnock, Glasgow City",F,2382,1608,SYNTHETIC DATA PRODUCED USING VALIPOP,2382,Fernandez
D,1618,James,A75.90,,SEPTEMBER,1699,990,1890,2695,NURCE TO AUNT,,2384,563,Bolkvadze,21,M,,2384,Jane,D,57,1699,Elizabeth,990,WILLIAMS,Andrew Soto,2695,PRINTER (COMPOSITOR),,"1 Braehouse, Scottish Borders",F,2384,1618,SYNTHETIC DATA PRODUCED USING VALIPOP,2384,Bolkvadze
D,1624,John,R99.01,,10,1481,863,1893,3248, ,,2386,567,Sanchez,DECEMBER,W,,2386,Mary,D,60,1481,Mavis,863,STEWA?T,Connor Kovslchuk,3248,SAWYER,,"1 Erroll Street, Roznheads, Peterhead",F,2386,1624,SYNTHETIC DATA PRODUCED USING VALIPOP,2386,Sanchez
D,1757,?imone,X31.00,,AUGUST,1952,900,1893,2373, ,,2388,604,Sepp,14,?,F10.00,2388,Sepp,,60,1952,Oceane,900,Smit,Marlon Paulauskas,2373,RAILWAY LAB & SPIRIT DEALER,,"1 Blyth Farm Road, Scotstonrig, Scottish Borders",F,2388,1757,SYNTHETIC DATA PRODUCED USING VALIPOP,2388,Catherine
D,1705,George,I51.90,,SEPTEMBER,1551,966,1902,3155,FARMER'S WIFE,,2390,606,Prochazka,6,M,R60.91,2390,Ann,D,69,1551,Sofia,966,Martinez,Daniel Morozov,3155,TAILOR (MASTER),,"1 Carnegie Place, Coplandhill, Aberdeenshire",F,2390,1705,SYNTHETIC DATA PRODUCED USING VALIPOP,2390,Prochazka
D,1032,Felix,G83.90,,FEBRUARY,1031,468,1857,1321,PROPRIETOR OF HOUSES,,1302,223,Popa,24,R,,1302,Margaret,D,69,1031,Martina,468,Malka,Samuel Thill,1321,FORMERLY SMALL FARMER,,"2 Eildon Mains, Scottish Borders",F,1302,1032,SYNTHETIC DATA PRODUCED USING VALIPOP,1302,Popa
D,1844,James,G83.90,,APRIL,1209,,1904,,HOUSEKEEPER,,2392,600,CONLLY,22,W,,2392,Catherine,D,70,1209,Nellie,,Ilves,,,,,"1 Plainfield Terrace, Monksford House, Scottish Borders",F,2392,1844,SYNTHETIC DATA PRODUCED USING VALIPOP,2392,CONLLY
D,1696,Jose,I51.90,,OCTOBER,2266,791,1871,2864,FARMER'S DAUR,,2410,588,White,15,R,J42.00,2410,Bridget,D,37,2266,Catherine,791,Bianchi,Pablo Jones,2864,SCUTCHER,,"2 Heugh, Scottish Borders",F,2410,1696,SYNTHETIC DATA PRODUCED USING VALIPOP,2410,White
D,1844,James,G83.90,,DECEMBER,1209,789,1888,2754,GROCER'S WIFE,,2414,600,CONLLY,8,M,,2414,Georgina,,54,1209,Nellie,789,Ilves,Isaac Flores,2754,GAME KEEPER,,"1 Garnock Street, Dalry, North Ayrshire",F,2414,1844,SYNTHETIC DATA PRODUCED USING VALIPOP,2414,CONLLY
D,2551,Tim,A09.02,,FEBRUARY,2550,822,1890,2283, ,,2552,656,Novak,14,M,R54.05,2552,Ana,D,55,2550,Regina,822,Chin,David Rivera,2283,KEEPER OF CATTLE,,"1 Blair Street, Little Richorn, Dalbeattie",F,2552,2551,SYNTHETIC DATA PRODUCED USING VALIPOP,2552,Novak
D,1884,Xavier,J42.00,,APRIL,2191,807,1892,2439, ,,2416,613,Garcia,6,M,,2416,Kate,,57,2191,Janie,807,Grech,Duncan Wozniak,2439,FARMER OF 40 ACRES EMPLOYING 1 MAN & 1 WOMAN,,"1 School Lane, Balbinny, Angus",F,2416,1884,SYNTHETIC DATA PRODUCED USING VALIPOP,2416,Garcia
,1774,James,A75.90,,JANUARY,1743,790,1892,2915,HOUSEKEEPER,,2412,569,Rivera,29,W,,2412,Margaret,,57,1743,Janet,790,Jones,Benjamin Anderson,2915,COTTON WEAVER,,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",F,2412,1774,SYNTHETIC DATA PRODUCED USING VALIPOP,2412,Rivera
,2676,William,A16.91,,MARCH,2675,,1866,,DEPENDANT,,2677,692,Garcia,28,S,,2677,Augustė,,30,2675,Sofia,,,,,,,"169 Dewar Avenue, Kincardine, Fife",F,2677,2676,SYNTHETIC DATA PRODUCED USING VALIPOP,2677,Garcia
D,3209,Diogo,R50.90,,SEPTEMBER,3208,1018,1882,2103, ,,3214,842,Petroskas,29,missing,,3214,Antonia,,46,3208,Kristin,1018,Dordevic,John Krastiansen,2103,GROOM AT HOTEL,,"2 Bail Ur, Highland",F,3214,3209,SYNTHETIC DATA PRODUCED USING VALIPOP,3214,Petrauskas
D,4082,Jonas,C80.90,,21,4081,1089,1894,4075, ,,4076,1090,Ahmaed,NOVEMBER,M,,4076,Sophie,,5i,4081,Laura,1089,,Ryan Varga,4075,FARM SERVT'S SON,,"35 Patrickbank Wynd, Johnstone Castle, Renfrewshire",F,4076,4082,SYNTHETIC DATA PRODUCED USING VALIPOP,4076,Dumitru
D,2748,Tyler,R54.05,,JUNE,2747,846,1903,2639, ,,2752,710,Flores,26,W,,2752,Ana,D,68,2747,Nahia,846,Dang,George Larsson,2639,AUGR LABOURER,,"1 Keltie Bridge, Braeleny Farm, Stirling",F,2752,2748,SYNTHETIC DATA PRODUCED USING VALIPOP,2752,Flores
D,667,William,R54.05,,AUGUST,501,353,1866,1059,FARMERS WIFE,,1048,184,Garcia,8,W,,1048,Elizabeth,D,91,501,Audrey,353,Zupancic,Joshua Schroeder,1059,RAILWAY LABOURER,,"1 Whinnyhouse, Scottish Borders",F,1048,667,SYNTHETIC DATA PRODUCED USING VALIPOP,1048,Garcia
,2497,Alessandro,R99.01,,DECEMBER,2496,636,1857,2487,SEWER,,2488,637,Angelov,18,M,,2488,Ellie,,68,2496,Rin,636,,Artjom Soto,2487,HOUSE PROPRIETOR,,"1 Ravensby Park Gardens, Grange of Barry, Angus",F,2488,2497,SYNTHETIC DATA PRODUCED USING VALIPOP,2488,Gonzalez
D,1796,John,R54.02,,JUNE,1480,976,1914,2977,FARMER'S WIFE,,2450,623,Thill,9,W,,2450,Anne,D,78,1480,Mary,976,Martinez,Jeffrey Greco,2977,GRAIN STORE KEEPER,,"1 Rathad na Horgh, Na h-Eileanan Siar",F,2450,1796,SYNTHETIC DATA PRODUCED USING VALIPOP,2450,Thill
,3154,William,G83.90,,MARCH,3153,849,1914,2313,WIDOW OF (WOOD) FORESTER,,3158,828,Morozov,16,W,,3158,Aada,,79,3153,Irena,849,,Filip Hernandez,2313,AG LAB,,"1 Earlsmeadow, St Mary's, Duns",F,3158,3154,SYNTHETIC DATA PRODUCED USING VALIPOP,3158,Morozov
,2525,James,R10.42,,JANUARY,2524,808,1884,2129, ,,2526,646,Shevchuk,31,M,,2526,Siiri,D,47,2524,Maja,808,Popa,Peter Prochazka,2129,AG LAB,,"1 Ritchie Place, Aberdeenshire",F,2526,2525,SYNTHETIC DATA PRODUCED USING VALIPOP,2526,Shevchuk
D,1902,Tyler,R99.01,,DECEMBER,2240,815,1884,2513, ,,2480,624,Szabo,30,M,,2480,Catherine,,48,2240,Elizabeth,815,WILLIAMS,Duncan Garcia,2513,COAL MINER,,"1 Knockcushan Street, Girvan, South Ayrshire",F,2480,1902,SYNTHETIC DATA PRODUCED USING VALIPOP,2480,Szabo
D,1904,Farquhar,A16.91,,NOVEMBER,1855,,1873,, ,,2512,639,Rasmussen,6,S,,2512,Janet,,36,1855,Bridget,,BRADFORD,,,,,"1590 Castle Road, South Ayrshire",F,2512,1904,SYNTHETIC DATA PRODUCED USING VALIPOP,2512,Rasmussen
D,2086,Schroeder,missing,,MARCH,1811,,1904,,SEAMSTRESS,,2514,641,John,1,S,I38.01,2514,Mary,,65,1811,Davidov,,Camille,,,,,"49 Whitehaugh Park, Kittlegairy Estate, Peebles",F,2514,2086,SYNTHETIC DATA PRODUCED USING VALIPOP,2514,Schroeder
D,2038,Daniel,R54.03,,FEBRUARY,1799,,1917,,FARMER'S WIDOW,,2516,,Larsson,5,S,R53.03,2516,Margaret,,79,1799,Chiara,,Grigoryan,,,,,"99 East Cliff, Dumfries and Galloway",F,2516,2038,SYNTHETIC DATA PRODUCED USING VALIPOP,2516,Larsson
,4228,Matthew,R99.01,,JUNE,4227,,1917,,WEFT WINDER,,4231,1133,Suarez,11,S,,4231,Emma,,79,4227,Aneta,,,,,,,"1 Craigie Avenue, Highland",F,4231,4228,SYNTHETIC DATA PRODUCED USING VALIPOP,4231,Suarez
,3393,Janez,I51.90,,MAY,3392,,1917,, ,,3394,890,Marquez,1,W,,3394,Maria,,80,3392,Anna,,,,,,,"1 Struthers Place, South Ayrshire",F,3394,3393,SYNTHETIC DATA PRODUCED USING VALIPOP,3394,Marquez
D,1722,James,L97.00,,SEPTEMBER,1739,938,1919,3118, ,,2506,589,Williams,6,R,,2506,Elesebeth,,82,1739,Hellen,938,White,Robin Robinson,3118,PAUPER FORMERLY AG LAB,,"12 Brunston Avenue, South Ayrshire",F,2506,1722,SYNTHETIC DATA PRODUCED USING VALIPOP,2506,Williams
D,1511,Jacob,R53.03,,JULY,1510,542,1868,1497,PAUPER,,1514,358,Markovic,14,W,,1514,Zsofia,D,76,1510,Camille,542,Moore,Nicolas Rossi,1497,GARDNER JOURNEYMAN,,"1 Princess Street, North Broomage, Bonnybridge",F,1514,1511,SYNTHETIC DATA PRODUCED USING VALIPOP,1514,Markovic
D,2748,Tyler,J11.10,,NOVEMBER,2747,892,1922,2653,FORMERLY FISHERMAN'S WIFE,,2751,710,Flores,10,W,,2751,Janice,D,85,2747,Nahia,892,Dang,Matthew Rojas,2653,LABOURER,,"1 Hayhill, Craigie, Ayr",F,2751,2748,SYNTHETIC DATA PRODUCED USING VALIPOP,2751,Flores
,3451,Alexander,R68.85,,SEPTEMBER,3450,,1891,,HAT TRIMMER,,3452,906,Toth,5,S,,3452,Abigail,,53,3450,Maria,,,,,,,"1 Mill Street, Lethangie, Kinross",F,3452,3451,SYNTHETIC DATA PRODUCED USING VALIPOP,3452,Toth
D,1778,Hugo,A16.96,,OCTOBER,1706,877,1868,2601,COOK,,2542,652,Martinez,15,M,,2542,Theresa,,30,1706,Rachel,877,Marquez,Bernard Harutyunyan,2601,JOURNEYMAN TAILOR,,"1 Kerse Avenue, North Ayrshire",F,2542,1778,SYNTHETIC DATA PRODUCED USING VALIPOP,2542,Martinez
,1600,Ethan,I51.90,,JUNE,1634,823,1891,2976, ,,2536,502,Rivera,28,M,,2536,Janet,,53,1634,Christina,823,GOODWIN,Nojus Bonik,2976,LINEN WEAVER,,"1 Gretenhow, Gretna, Dumfries and Galloway",F,2536,1600,SYNTHETIC DATA PRODUCED USING VALIPOP,2536,Rivera
D,1618,James,C50.90,,NOVEMBER,1699,824,1893,2863,LINEN WEAVER,,2538,563,Bolkvadze,22,W,,2538,Kate,D,55,1699,Elizabeth,824,WILLIAMS,Samuel Jones,2863,FARMER OF 6 ACRES,,"1 Cairnhill Place, South Ayrshire",F,2538,1618,SYNTHETIC DATA PRODUCED USING VALIPOP,2538,Bolkvadze
D,2312,Rasmus,R60.01,,NOVEMBER,2311,840,1911,2463,GENTLEWOMAN,,2534,582,Hernandez,14,W,,2534,Jane,D,73,2311,Catarina,840,Rivera,Harry Brown,2463,FARMER OF 20 ACRES,,"1 Geisher Road, Braeleny Farm, Stirling",F,2534,2312,SYNTHETIC DATA PRODUCED USING VALIPOP,2534,Hernandez
,1768,William,A16.96,,MAY,1669,,1860,,FISHERMAN'S DAUR,,2568,661,COWLEY,10,S,,2568,Helen,,20,1669,Mary,,Schroeder,,,,,"2 Mid Lane, Perth and Kinross",F,2568,1768,SYNTHETIC DATA PRODUCED USING VALIPOP,2568,COWLEY
D,1796,John,O85.03,,NOVEMBER,1480,,1863,,DRESS MAKER,,2572,623,Thill,20,S,,2572,Mary,D,24,1480,Mary,,Martinez,,,,,"21 The Orchard, Allanbank, Lauder",F,2572,1796,SYNTHETIC DATA PRODUCED USING VALIPOP,2572,Thill
,1814,Emre,K92.20,,OCTOBER,2460,,1863,,LAUNDRESS DOMESTIC SERVANT,,2574,663,Vuennaa,25,S,A01.00,2574,Euphemia,,24,2460,Christina,,Larsson,,,,,"1 Larch Drive, Falkirk",F,2574,1814,SYNTHETIC DATA PRODUCED USING VALIPOP,2574,Vuennaa
D,1902,Tyler,I51.90,,JULY,2240,909,1891,2673,SEMSTRESS,,2578,624,Szabo,22,M,G93.90,2578,Christina,D,52,2240,Elizabeth,909,WILLIAMS,William Grech,2673,MASTER,,"1 Lebanon Terrace, Westfield, Cupar",F,2578,1902,SYNTHETIC DATA PRODUCED USING VALIPOP,2578,Szabo
,2815,Krzysztof,K65.00,,AUGUST,2814,728,1878,2808, ,,2809,730,Kovax,25,W,,2809,Elzbieta,,86,2814,Constanza,728,,Carlos Larsson,2808,LABOURER DYERS,,"1 Sandybrae Road, North Ayrshire",F,2809,2815,SYNTHETIC DATA PRODUCED USING VALIPOP,2809,Huynh
D,1948,Michael,I64.01,,OCTOBER,2495,910,1893,2503, ,,2580,664,Soto,4,M,,2580,Joanna,,54,2495,Jane,910,Grech,Chas Sanchez,2503,STONE MASON,,"2 Heugh, Scottish Borders",F,2580,1948,SYNTHETIC DATA PRODUCED USING VALIPOP,2580,Soto
,3154,William,K83.10,,MAY,3153,977,1893,2733,DRESSMAKER,,3157,828,Morozov,8,W,,3157,Beatriz,,53,3153,Irena,977,,James COWLEY,2733,MARRINER,,"1 Kings Brae, Highland",F,3157,3154,SYNTHETIC DATA PRODUCED USING VALIPOP,3157,Morozov
D,2858,Piotr,R60.91,,SEPTEMBER,2857,832,1893,2511, ,,2861,744,Jones,8,M,,2861,Sara,D,53,2857,Sara,832,Mayer,John CONLLY,2511,SURGEON,,"1 Springs Park, South Ayrshire",F,2861,2858,SYNTHETIC DATA PRODUCED USING VALIPOP,2861,Jones
,3188,Luis,R99.01,,MAY,3187,836,1913,3184,PAUPER FORMERLY FARMER'S WIFE,,3185,837,Zammit,17,M,,3185,Emily,,73,3187,Martina,836,,Alvaro Schmidt,3184,COWFEEDER,,"1 Preston, Cockenzie and Port Seton, East Lothian",F,3185,3188,SYNTHETIC DATA PRODUCED USING VALIPOP,3185,Thomas
D,1942,Larsson,I72.90,,22,1799,841,1869,2238,DRESSMAKER,,2602,670,Daniel,NOVEMBER,M,,2602,Ann,,missing,1799,Jane,841,WILLIAMS,Tomas Szabo,2238,CARRIER & MERCHANT,,"2 Millbank Road, Strabraer, Dumfries and Galloway",F,2602,1942,SYNTHETIC DATA PRODUCED USING VALIPOP,2602,Larzson
D,2217,Thomas,G03.90,,OCTOBER,1857,950,1875,3280,LININ WEAVER,,2640,682,Schroeder,19,M,,2640,Ann,D,33,1857,Ava,950,Brankov,Jozef Rossi,3280,CHAPLAIN OF JAIL & PARISH MISSIONERY HAMILTON,,"1592 Castle Road, South Ayrshire",F,2640,2217,SYNTHETIC DATA PRODUCED USING VALIPOP,2640,Schroeder
,3662,Daniel,R54.00,,APRIL,3661,963,1916,3657,LINNEN WINDER,,3658,964,Bruno,6,M,,3658,Amy,,74,3661,Larissa,963,,Carlos Martinez,3657,FARMER,,"1 Cunninghar Road, Jessiehill Cottages, West Lothian",F,3658,3662,SYNTHETIC DATA PRODUCED USING VALIPOP,3658,Wagner
D,1802,Thomas,R54.05,,APRIL,1625,850,1916,2680,ANNUITANT,,2632,679,DAVISON,29,M,,2632,Minnie,D,74,1625,Siiri,850,Ramadan,Matteo Li,2680,CALICO PRINTER,,"1 Bail Ur, Highland",F,2632,1802,SYNTHETIC DATA PRODUCED USING VALIPOP,2632,DAVISON
D,1722,Jamest,R53.03,,5,1739,1065,1917,2723,DOMESTIC SERV,,2636,589,Williasms,OCTOBER,W,,2636,Williams,miwsing,76,1739,Hellen,1065,White,Jno Sanchez,2723,FARMER,,"1 Holmhead Crescent, Holmhead, East Ayrshire",F,2636,1722,SYNTHETIC DATA PRODUCED USING VALIPOP,2636,Catherine
D,1874,Paulauskas,missing,,4,2375,967,1918,2597,missing,,2638,680,Ren,JANUARY,missing,,2638,Catherine,D,76,2375,Elizabeth,967,Schroeder,Peter WILLIAMS,2597,CARTER (STREET SEWERS),,"1 Brochroy Croft, Argyll and Bute",F,2638,1874,SYNTHETIC DATA PRODUCED USING VALIPOP,2638,Paulauskas
D,792,Robert,R54.05,,DECEMBER,761,527,1880,1513,PROPRIETOR OF HOUSES,,1376,309,STEWART,13,M,,1376,STEWART,D,?9,761,Sanchez,527,Margaret,Joshu? Markovic,1513,HAND LOOM WEAVER,,"1 Ballplay Road, Moffat, Dumfries and Galloway",F,1376,792,SYNTHETIC DATA PRODUCED USING VALIPOP,1376,Christina
D,1948,Michael,R54.03,,JUNE,2495,893,1918,2637,PIRN WINDER (PAUPER),,2644,664,Soto,18,W,,2644,Johanna,D,76,2495,Jane,893,Grech,Thomas Thill,2637,BASKET MAKER,,"1 Cowan Crescent, Braehead, Prestwick",F,2644,1948,SYNTHETIC DATA PRODUCED USING VALIPOP,2644,Soto
?,3209,Diogo,J20.91,,JANUARY,3208,851,1922,2415,PLOUGHMAN'S WIDOW,,3212,842,Petrauskas,18,W,,3212,Marta,D,80,3208,missing,851,Kristin,David Smith,2415,WOOD CUTTER,,"1 Kinnaird Strert, Cairnie, Angus",F,3212,3209,SYNTHETIC DATA PRODUCED USING VALIPOP,3212,Petrauskas
,1990,Cameron,I51.90,,APRIL,2318,925,1891,3211,FARMER WIFE,,2672,683,Hernandez,12,M,J18.90,2672,Jessie,D,48,2318,Annie,925,Dubois,Joao Petrauskas,3211,MAIL MESSENGER,,"1 Buccleuch Gardens, The Holmes, Scottish Borders",F,2672,1990,SYNTHETIC DATA PRODUCED USING VALIPOP,2672,Hernandez
,3396,Dylan,I50.90,,NOVEMBER,3395,926,1891,3337, ,,3400,891,Liepins,10,M,M79.00,3400,Maria,,49,3395,Ava,926,,Pablo White,3337,PRIVATE WATCHMAN,,"1 The Croft, The Holmes, Scottish Borders",F,3400,3396,SYNTHETIC DATA PRODUCED USING VALIPOP,3400,Liepins
,2242,Franc,C55.00,,APRIL,2263,917,1891,2853,DRESSMAKER,,2664,687,White,5,M,,2664,Alison,D,49,2263,Anna,917,Szabo,Andrew Markovic,2853,IRON MOULDER,,"39 Ard Struan Road, Highland",F,2664,2242,SYNTHETIC DATA PRODUCED USING VALIPOP,2664,White
,3424,Elias,I51.70,,NOVEMBER,3423,927,1892,2603,DOMESTIC SERVANT,,3425,897,Karlsson,23,M,R53.03,3425,Catalina,,50,3423,Aino,927,,James Sepp,2603,FISHERMAN & CROFTER,,"1 St Ninian's Place, Hillhouse, South Lanarkshire",F,3425,3424,SYNTHETIC DATA PRODUCED USING VALIPOP,3425,Karlsson
D,1836,Samuel,J18.90,,AUGUST,1673,928,1913,2451,FARMER EMPLOYING 16 LAB ? AND 1 BOY,,2666,599,Smith,18,M,,2666,Ester,D,70,1673,Jeannie,928,Schroeder,James Garcia,2451,PAUPER (FORMERLY C WEAVER),,"2 Grubbit Mill, Scottish Borders",F,2666,1836,SYNTHETIC DATA PRODUCED USING VALIPOP,2666,Smith
D,2748,Tyler,R54.05,,JUNE,2747,1006,1928,3036, ,,2749,710,Flores,2,W,,2749,Lea,D,85,2747,Nahia,1006,Dang,Joao Green,3036,INNKEEPER,,"1 Old Edinburgh Road, Dumfries and Galloway",F,2749,2748,SYNTHETIC DATA PRODUCED USING VALIPOP,2749,Flores
,3735,Jacob,I64.01,,SEPTEMBER,3734,987,1935,3725, ,,3726,988,Vasquez,30,W,,3726,Marie,,92,3734,Sara,987,,Aaron Schroeder,3725,SHEPHERD,,"1 Blaeloch Drive, Simshill, Glasgow City",F,3726,3735,SYNTHETIC DATA PRODUCED USING VALIPOP,3726,Bolkvadze
,3275,Tobias,A16.96,,DECEMBER,3274,968,1877,2819,FAMILY SERVANT,,3281,859,Rossi,10,R,,3281,Fatma,D,34,3274,Lea,968,Meier,William WILLIAMS,2819,SEAMAN,,"1 The Avenue, Three Bridges, Inveraray",F,3281,3275,SYNTHETIC DATA PRODUCED USING VALIPOP,3281,Rossi
D,1313,Robert,J11.10,,MAY,951,,1873,, ,,1404,325,Fernandez,30,S,R50.90,1404,Margaret,D,80,951,Ewa,,Schulz,,,,J18.90,"1 Calfward Park, Allanbank, Lauder",F,1404,1313,SYNTHETIC DATA PRODUCED USING VALIPOP,1404,Fernandez
D,2072,Donald,K30.00,,MAY,2021,825,1891,2650,SERVANT,,2698,696,Markovic,22,M,H73.80,2698,Janet,D,47,2021,Alice,825,Larsen,Thomas Rojas,2650,LABOURER,,"87 Riverside Park, Highland",F,2698,2072,SYNTHETIC DATA PRODUCED USING VALIPOP,2698,Markovic
,1796,Alexander,A16.96,,MARCH,2317,,1879,, ,,2714,703,Hernandez,10,S,,2714,Margaret,D,34,2317,Mary,,Martinez,,,,,"1 Under Loan Park, Allanbank, Lauder",F,2714,1796,SYNTHETIC DATA PRODUCED USING VALIPOP,2714,Hernandez
D,1836,Samuel,K25.90,,JULY,1673,,1879,,POWER LOOM WEAVER,,2716,599,Smith,19,S,I64.01,2716,Ann,,35,1673,Jeannie,,Schroeder,,,,G83.90,"2 Crosbie Road, Troon, South Ayrshire",F,2716,1836,SYNTHETIC DATA PRODUCED USING VALIPOP,2716,Smith
,2078,John,A09.03,,JULY,2099,,1891,, ,,2722,704,Markovic,22,S,,2722,Isabella,D,47,2099,Margaret,,Delic,,,,,"2 Bracklinn Road, Drumardoch Farm, Callander",F,2722,2078,SYNTHETIC DATA PRODUCED USING VALIPOP,2722,Markovic
D,2833,Ryan,R99.01,,MAY,2832,,1895,, ,,2834,,Kastrati,17,S,,2834,Lea,D,50,2832,Laura,,Dang,,,,,"1 Canty Grove, East Lothian",F,2834,2833,SYNTHETIC DATA PRODUCED USING VALIPOP,2834,Kastrati
,4103,Nathan,Q24.90,,MARCH,4102,,1909,, ,,4104,1094,Perez,10,S,R60.91,4104,Sara,,64,4102,Ruby,,,,,,,"1 Balvenie Drive, Riccarton, Kilmarnock",F,4104,4103,SYNTHETIC DATA PRODUCED USING VALIPOP,4104,Perez
,4228,Matthew,R53.03,,JANUARY,4227,,1909,, ,,4229,1133,Suarez,5,S,,4229,Michela,,64,4227,Aneta,,,,,,,"1 Craigie Avenue, Highland",F,4229,4228,SYNTHETIC DATA PRODUCED USING VALIPOP,4229,Suarez
D,3246,Aaron,J45.90,,MARCH,3245,1030,1909,2739, ,,3247,853,Kovalchuk,7,M,,3247,Ines,D,64,3245,Anna,1030,Kavaliauskas,John de Boeah,2739,CLERK TO A COAL WORK,,"1 Armstrong Court, Langholm, Dumfries and Galloway",?,3247,3246,SYNTHETIC DATA PRODUCED USING VALIPOP,3247,Kovalchuk
D,2551,Tim,R53.03,,JUNE,2550,956,1914,2438,PIRN WINDER,,2718,656,Novak,19,W,,2718,Agnes,D,69,2550,Regina,956,Chin,Alexander Markovic,2438,CROFTER,,"105 Courthill Street, Dalry, North Ayrshire",F,2718,2551,SYNTHETIC DATA PRODUCED USING VALIPOP,2718,Novak
,1990,Cameron,R53.03,,NOVEMBER,2318,943,1914,2697, ,,2720,683,Hernandez,1,W,J42.00,2720,Janet,D,70,2318,Annie,943,Dubois,Alexr Sepp,2697,DRAINER,,"2 Girnick, Scottish Borders",F,2720,1990,SYNTHETIC DATA PRODUCED USING VALIPOP,2720,Hernandez
D,950,Michael,R53.03,missing,MAY,921,,1873,, ,,1408,327,Garcia,27,S,R54.05,1408,Jessie,D,?q,921,Fernandez,,Margaret,,,,,"2 Vorlich Crescent, Braeleny Farm, Stirling",F,1408,950,SYNTHETIC DATA PRODUCED USING VALIPOP,1408,miss?ng
,1796,Alexander,A01.00,,AUGUST,2317,,1863,,SCHOLAR,,2734,703,Hernandez,5,S,J20.91,2734,Margaret,D,17,2317,Mary,,Martinez,,,,,"1 Under Loan Park, Allanbank, Lauder",F,2734,1796,SYNTHETIC DATA PRODUCED USING VALIPOP,2734,Hernandez
,1876,John,J11.10,,MAY,1817,,1863,,SCHOLAR,,2736,592,WILLIAMS,29,S,,2736,Mary,,17,1817,Eliza,,Abdullayev,,,,,"1 Berry Place, Northbank Farm Steadings, Fife",F,2736,1876,SYNTHETIC DATA PRODUCED USING VALIPOP,2736,WILLIAMS
,4111,Petras,A16.96,,MAY,4110,1095,1891,4105, ,,4106,1096,Ibrahimovic,11,M,,4106,Aada,,45,4110,Aada,1095,,Mathias Sanchez,4105, ,,"1 Moray View Court, Moray",F,4106,4111,SYNTHETIC DATA PRODUCED USING VALIPOP,4106,Anderson
D,1942,Daniel,G83.90,,JANUARY,1799,895,1908,2417,SEA CAPTAIN'S WIDOW,,2744,670,Larsson,25,M,,2744,Ann,,62,1799,Jane,895,WILLIAMS,James WILLIAMS,2417,CALICO PRINTER,,"1 Victoria Place, Stranraer, Dumfries and Galloway",F,2744,1942,SYNTHETIC DATA PRODUCED USING VALIPOP,2744,Larsson
D,1904,Farquhar,X31.00,,AUGUST,1855,894,1909,3279,DRESS MAKER,,2740,639,Rasmussen,7,M,R53.03,2740,Agnes,D,64,1855,Bridget,894,BRADFORD,Connor Rossi,3279,AGR LAB,R60.91,"1 Henderson Road, Troon, South Ayrshire",F,2740,1904,SYNTHETIC DATA PRODUCED USING VALIPOP,2740,Rasmussen
D,2428,Alexander,I51.50,,FEBRUARY,2317,881,1909,2584, ,,2746,709,Hernandez,16,M,,2746,Margaret,,63,2317,Michela,881,Jones,Jeremy Carvalho,2584,AG LABORER,,"1589 Castle Road, South Ayrshire",F,2746,2428,SYNTHETIC DATA PRODUCED USING VALIPOP,2746,Hernandez
,3819,Michael,R09.10,,JULY,3818,1014,1914,3811,FARMER'S WIFE,,3812,1015,Santos,6,M,J42.00,3812,Irena,,68,3818,Noemie,1014,,Connor Santana,3811,FARMER OF 17 ACRES,R53.03,"1 Broompark Road, Calderwood, East Calder",F,3812,3819,SYNTHETIC DATA PRODUCED USING VALIPOP,3812,Muller
,1900,Richard,A16.96,,DECEMBER,1865,,1871,,GENERAL SERVANT,,2766,640,Garcia,8,S,,2766,Mary,,25,1865,Catherine,,Mertens,,,,,"571 Moss Road, Scottish Borders",F,2766,1900,SYNTHETIC DATA PRODUCED USING VALIPOP,2766,Garcia
,4542,Matthew,I38.01,,MAY,4541,,1918,,DOM SERV,,4543,1227,Hansen,13,S,R60.91,4543,Kristyna,,71,4541,Maricel,,,,,,,"75 Knock View, Aberdeenshire",F,4543,4542,SYNTHETIC DATA PRODUCED USING VALIPOP,4543,Hansen
D,1902,Tyler,I51.90,,MAY,2240,1007,1891,2945,CARPENTERS WIFE,,2770,624,Szabo,5,M,,2770,Bathia,D,44,2240,Elizabeth,1007,WILLIAMS,Andrew Visser,2945,ACRATED WATER MANUFACTER EMPLOYING 4 MEN,,"1 Weensmoore, Scottish Borders",F,2770,1902,SYNTHETIC DATA PRODUCED USING VALIPOP,2770,Szabo
