surname of groom,GROOM_FATHER_IDENTITY,if bride's father deceased,month,marital status of groom,BRIDE_IDENTITY,if bride's mother deceased,GROOM_IDENTITY,bride's mother's forename,year,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,address of groom,groom's father's surname,groom's mother's maiden surname,bride's father's surname,day,if groom's father deceased,surname of bride,gdeath,notes1,address of bride,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,if groom's mother deceased,BRIDE_FATHER_IDENTITY,age of groom,groom's mother's forename,age of bride,occupation of groom,bride's father's forename,groom's father's occupation,forename of groom,GROOM_FATHER_BIRTH_RECORD_IDENTITY,ID,bride's father's occupation,groom's father's forename,bride's mother's maiden surname,bdeath,forename of bride,GROOM_MOTHER_IDENTITY,place of marriage,BRIDE_BIRTH_RECORD_IDENTITY,occupation of bride,marital status of bride,BRIDE_MOTHER_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY
Smith,4684,,SEPTEMBER,B,4632,,4687,Margaret,1937,4687,3675,"1 Claggan, Highland",Smith,Saar,WILLIAMS,17,,WILLIAMS,4687,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Greenhead Street, South Ayrshire",3910,,3675,27,Michela,26,LITHOGRAPHIC PRINTER (JOUR),James,CLOTHES DEALER,Sigurour,4684,1574,LAB,Thomas,Anderson,4632,Flora,4685,Aberdeenshire,4632, ,S,3910,4685
Bonik,3357,,JANUARY,B,5550,,4391,Izaro,1937,4391,5548,"1 Millbank Road, Stranraer, Dumfries and Galloway",Bonik,Sanchez,Bandara,28,,Bandara,4391,SYNTHETIC DATA PRODUCED USING VALIPOP,"308 Baberton Mains Drive, Baberton, City of Edinburgh",5549,,5548,32,Agnes,26,IRONSTONE CHARR FILLER,Jonas,MINISTER OF HOLY TOWN ESTABLISHED CHURCH,Willia,3357,1575, ,Wm,Silva,5550,Maria,3388,Foulden New Mains Scottish Borders,5550, ,S,5549,3388
James,3963,,NOVEMBER,B,4868,,4715,Novak,1937,4715,3727,"1 Braehouse, Scottish Borders",Szabo,Varga,Schroeder,17,missing,Schroeder,4715,SYNTHETIC DATA PRODUCED USING VALIPOP,"82 Hauplands Way, West Kilbride, North Ayrshire",3840,,3727,24,Leah,20,COLLECTOR TO GAS LIGHT CO,T,PUDDLER (IRON),Szabo,3963,1576,BRICKMAKER,W,Bridget,4868,Janet,4580,Croc North Ayrshire,4868,SCHOLAR,S,3840,4580
Smith,4684,,MARCH,B,4996,,4688,Anna,1937,4688,4993,"1 Claggan, Highland",Smith,Saar,Popa,24,,Popa,4688,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Christchurch Place, Westwood, East Kilbride",4994,,4993,30,Michela,19,PLOUGHMAN,Nathan,CLOTHES DEALER,Luca,4684,1577,FARMER OF 20 ACRES EMPLOYING 1 FARM SERVANT,Thomas,Stan,4996,Linnea,4685,Aberdeenshire,4996,SCHOLAR,S,4994,4685
Huseynov,3848,,APRIL,B,4872,,4607,Mary,1937,4607,3973,"94 Canalside, City of Edinburgh",Huseynov,Lopez,Maisuradze,3,,Maisuradze,4607,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 John Simpson Drive, Stranraer, Dumfries and Galloway",3942,,3973,26,Hannah,18,MILL CARD SHARPER,Angus,BLEACHER,John,3848,1578,BLACKSMITH EMPLOYING 2 MEN 4 BOYS & A CLERK,Mantas,Soto,4872,Annie,4511,Hattonrigg Bellshill ,4872,SCHOOL,S,3942,4511
Hernandez,2311,,JULY,B,2278,,2314,Mary,1860,2314,1749,"1 Nicol Place, Jessiehill Cottages, Broxburn",Hernandez,Rivera,Fernandez,19,,Fernandez,2314,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Duart Crescent, New Prestwick, Prestwick",1446,,1749,30,Catarina,28,LABOURER (DRAINER),Alexander,MECHANIC (DISTILLERY),Ethan,2311,831,CLOCK AT LINEN BLEACHFIELD,Rasmus,CARRUTHERS,2278,Mary,2312,Kirkfield Bothwell ,2278,GENERAL SERVANT,S,1446,2312
Demir,4141,,SEPTEMBER,B,5074,,4867,Mary,1937,4867,4119,"1 Rowan Road, Soroba, Oban",Demir,Bouchard,Mohamed,15,,Mohamed,4867,SYNTHETIC DATA PRODUCED USING VALIPOP,"42 Ard Struan Road, Highland",4332,,4119,21,Julia,17,STUDENT,Jamez,PLOUGHMAN,John,4141,1579,GAMEKEEPER,Conor,Andersson,5074,Flo?a,3885,Aberdeenshire,5074,SCHOLAR,S,4332,3885
Bolkvadze,5313,,MARCH,B,5513,,5315,Francisca,1937,5315,5510,"1 Thomson Place, Clackmannanshire",Bolkvadze,,Perez,3,,Perez,5315,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Balloch, Highland",5511,,5510,22,Ana,17,CLERK IN POST OFFICE,Michael, ,Arthur,5313,1580,POLICE CONSTABLE,Hugo,Jensen,5513,Elif,5314,Highland,5513,SCHOLAR,S,5511,5314
Harutyunyan,3755,,FEBRUARY,B,5054,,4711,Catherine,1937,4711,3933,"1 Great Western Court, Buckie, Moray",Harutyunyan,Rivera,Hernandez,2,,Hernandez,4711,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Big Sand Road, Highland",3944,,3933,26,Margory,16,CARTWRIGHT,Thomas,STABLE GROOM,Peter,3755,1581,LABOURER AGRICULT,John,Kiss,5054,Ann,3760,Highland,5054,SCHOLAR,S,3944,3760
Harutyunyan,3471,,SEPTEMBER,B,5070,,4631,Margaret,1937,4631,4155,"1 Cora Linn Court, North Ayrshire",Harutyunyan,Szabo,Watanabe,10,,Watanabe,4631,SYNTHETIC DATA PRODUCED USING VALIPOP,"1589 Castle Road, South Ayrshire",4262,,4155,28,Jessie,16,BLOCK PRINTER,James,HAWKER,Peter,3471,1582,MINISTER OF ALVA FREE CHURCH,James,Smith,5070,Jessie,3842,Wooden Scottish Borders,5070,SCHOLAR,S,4262,3842
Harutyunyan,3755,,MAY,B,4904,,4933,Catherine,1938,4933,4011,"1 Great Western Court, Buckie, Moray",Harutyunyan,Rivera,Santos,30,,Santos,4933,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Meadows Place, Lochgilphead, Argyll and Bute",4026,,4011,19,Margory,20,SCHOLAR,Louis,STABLE GROOM,Will,3755,1586,HERD,John,Prochazka,4904,Elizabeth,3760,Highland,4904,SCHOLAR,S,4026,3760
Gauthier,5356,,APRIL,B,5088,,5362,Sara,1938,5362,3679,"1 Dee Terrace, Little Earnock, South Lanarkshire",Gauthier,Dimitrov,Sanchez,16,,Sanchez,5362,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 The Old Creamery, Netherurd House, Scottish Borders",3838,,3679,22,Ana,16,SADDLER,William,AG LAB,Lorenso,5356,1587,FARM SERVANT,Aaron,te Boer,5088,Agnes,5357,Wooden Scottish Borders,5088,SCHOLAR,S,3838,5357
Martinez,5470,,MARCH,B,5094,,5478,Mary,1938,5478,4411,"99 Anchor Crescent, Seedhill, Paisley",Martinez,Guo,Pena,8,,Pena,5478,SYNTHETIC DATA PRODUCED USING VALIPOP,"41 Ard Struan Road, Highland",4098,,4411,22,Irena,16,AG LAB,Simon, ,Benjamin,5470,1588,BAKER (JOURNEYMAN),Jon,Kovacevic,5094,Maggie,5471,Allanbank Lauder ,5094, ,S,4098,5471
Santana,3817,,AUGUST,B,4753,,4799,Ana,1939,4799,4751,"1 Winehouse Yett, South Ayrshire",Santana,Sepp,Markovic,5,,Markovic,4799,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Broom Road, Inverclyde",4752,,4751,24,Jane,27,ENGINE STOKER (FLAX FACTORY),Ren,FORMERLY LABR,Andrew,3817,1594,BUTCHER (MASTER),Jake,Abdullayev,4753,Maria,3540,Abbotsmeadow Melrose ,4753, ,S,4752,3540
Santana,3816,,JULY,B,4714,,4559,Anna,1939,4559,3941,"1 Denfield Drive, Cardenden, Fife",Santana,Jimenez,Szabo,23,,Szabo,4559,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 The Fieldings, East Ayrshire",4010,,3941,31,Regina,27,MASON,James,LABOURER STONE MINE,Thomas,3816,1595,JOINER,Joshua,Santos,4714,Jane,3926,Allanbank Lauder ,4714,SPIRIT MERCHANTS DAUGHTER,D,4010,3926
Krajnc,4477,,DECEMBER,B,4840,,4941,Margaret,1939,4941,3675,"100 Seton Place, Dalgety Bay, Fife",Krajnc,Visser,WILLIAMS,11,,WILLIAMS,4941,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Greenhead Street, South Ayrshire",3910,,3675,20,Mary,23,SCHOLAR,James,PLOUGHMAN,William,4477,1596,LAB,Vytautas,Anderson,4840,Jamima,4006,Belhaven Dunbar ,4840, ,S,3910,4006
CONLLY,1209,,MAY,B,2861,,2511,Sara,1860,2511,2857,"1 Grubbit Mill, Scottish Borders",CONLLY,Ilves,Jones,1,,Jones,2511,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Whistleberry Wynd, Whitehill, Bothwell",2858,,2857,19,Nellie,17,FARMER'S SON,Piotr,COAL CARTER,John,1209,832,MASTER OF DREDGING MACHINE,James,Mayer,2861,Sara,1844,South Ayrshire,2861,SCHOLAR,S,2858,1844
Ilves,4274,,AUGUST,B,5363,,4841,Anna,1939,4841,5356,"1 Park Crescent, Hillpark, Bannockburn",Ilves,Williams,Gauthier,22,,Gauthier,4841,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Dee Terrace, Little Earnock, South Lanarkshire",5357,,5356,23,Ellie,23,MASON,Aaron,GARDENER,Peter,4274,1597,AG LAB,Roberto,Dimitrov,5363,Katie,4376,Three Bridges Inveraray ,5363, ,S,5357,4376
Wm,3933,,SEPTEMBER,B,4995,,4871,Anna,1939,4871,4993,"1 Big Sand Road, Highland",Hernandez,Kiss,Nathan,3,,Popa,4871,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Christchurch Place, Westwood, East Kilbride",4994,,4993,21,Cat?erine,21,FISHER,Popa,LABOURER AGRICULT,Hernandez,3933,1598,FARMER OF 20 ACRES EMPLOYING 1 FARM SERVANT,Tho?as,Stan,4995,Kat?in,3944,Southfield Scottish Borders,4995,DOMESTIC SERVANT,S,4994,3944
Harutyunyan,3755,,APRIL,B,4908,,4803,Cathrine,1939,4803,4137,"1 Great Western Court, Buckie, Moray",Harutyunyan,Rivera,Nguyen,25,,Nguyen,4803,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Clanranald Terrace, Highland",4184,,4137,23,Margory,20,TILE MAKER,John,STABLE GROOM,Peter,3755,1599,MASON,John,Prochazka,4908,Catherin,3760,Cove Bay Aberdeen City,4908,SERVANT,S,4184,3760
Bonik,3357,,NOVEMBER,B,4906,,4455,Martha,1939,4455,4095,"1 Millbank Road, Stranraer, Dumfries and Galloway",Bonik,Sanchez,Wozniak,8,,Wozniak,4455,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 St Nathans Road, Aberdeenshire",4096,,4095,35,Agnes,23,BLOCK CUTTER,William,MINISTER OF HOLY TOWN ESTABLISHED CHURCH,Frank,3357,1600,IRON WORKS LABOURER,Wm,Larsson,4906,Janet,3388,Highland,4906, ,S,4096,3388
Andersson,4293,,JULY,B,5056,,5031,Mary,1939,5031,4477,"11 Brodick Avenue, Kilwinning, North Ayrshire",Andersson,Grigoryan,Krajnc,19,,Krajnc,5031,SYNTHETIC DATA PRODUCED USING VALIPOP,"100 Seton Place, Dalgety Bay, Fife",4006,,4477,17,Marta,16,SCHOLAR,Vytautas,JOINER,Alexr,4293,1601,PLOUGHMAN,John,Visser,5056,Elizabeth,4722,Hownam Grange Scottish Borders,5056,SCHOLAR,S,4006,4722
Wozniak,3666,,JUNE,B,5068,,4899,Ellen,1939,4899,4087,"1 Mansefield, Auchreoch, Stirling",Wozniak,Jones,Prochazka,1,,Prochazka,4899,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 The Grange, Scottish Borders",4188,,4087,20,Mary,16,PLOUGHMAN,John,SMITH'S HAMMERMAN,Will,3666,1602,MASON (JOUR),John,Schroeder,5068,Ann,3794,Warddykes Angus,5068,SCHOLAR,S,4188,3794
Pena,4411,,MARCH,B,5130,,5143,Anna,1939,5143,3941,"41 Ard Struan Road, Highland",Pena,Kovacevic,Szabo,5,,Szabo,5143,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Northriggs, Manse, Scottish Borders",4010,,3941,16,Mary,16,SCHOLAR,James,BAKER (JOURNEYMAN),Alexander,4411,1603,JOINER,Simon,Santos,5130,Ketty,4098,Heathfield Prestwick ,5130,SCHOLAR,S,4010,4098
Gonzalez,4748,,JUNE,B,5136,,5139,Agnes,1939,5139,4065,"248 Manse Road, East Lothian",Gonzalez,HUNTER,WILLIAMS,1,,WILLIAMS,5139,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Holmfoot, Scottish Borders",4030,,4065,16,Anna,16,SCHOLAR,John,PAUPER SHOEMAKER,Duncan,4748,1604,CROFTERS SON,Julen,Grech,5136,Sarah,4062,Girvan South Ayrshire,5136,SCHOLAR,S,4030,4062
Tran,4579,,AUGUST,B,5216,,4605,Mary,1939,4605,4119,"1 Eglinton Crescent, Troon, South Ayrshire",Tran,Varga,Mohamed,1,,Mohamed,4605,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Eglinton Crescent, Troon, South Ayrshire",4332,,4119,33,Leah,16,PATTERN DRAWER,James,ROAD LABOURER,James,4579,1605,GAMEKEEPER,Tamas,Andersson,5216,Maggie,4580,,5216,SCHOLAR,S,4332,4580
Hansen,3810,,FEBRUARY,B,4778,,4457,Leah,1940,4457,3963,"2 Common Road, Cellardyke, Fife",Hansen,Jones,Szabo,9,,Szabo,4457,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Smiddy Park, Aberdeenshire",4580,,3963,36,Ann,26,WOOLLEN WEAVER,William,SHEPHERD,Matthew,3810,1613,GARDENER,Lorenzo,Varga,4778,Jean,3504,Highland,4778,MUSLIN SEWER,D,4580,3504
Schroeder,1533,,FEBRUARY,B,2576,,2515,Regina,1860,2515,2550,"1 Wingate Avenue, Dalry, North Ayrshire",Schroeder,Martinez,Novak,15,,Novak,2515,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Muir Road, Welltree, Fife",2551,,2550,20,Marjory,18,COMMERCIAL CLERK,Tim,PLASTERER,Robert,1533,833,LINNEN WEAVER,John,Chin,2576,Nanny,1910,Auchreoch Stirling,2576, ,S,2551,1910
Wozniak,4095,,MAY,B,4870,,4817,Leah,1940,4817,3963,"1 St Nathans Road, Aberdeenshire",Wozniak,Larsson,Szabo,5,,Szabo,4817,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Braehouse, Scottish Borders",4580,,3963,25,Martha,23,FARMERS NEPHEW,William,IRON WORKS LABOURER,Andrew,4095,1614,GARDENER,William,Varga,4870,Margaret,4096,South Ayrshire,4870,HOUSE SERVANT,S,4580,4096
Perez,5510,,FEBRUARY,B,4878,,5515,Mary,1940,5515,4119,"1 Balloch, Highland",Perez,Jensen,Mohamed,13,,Mohamed,5515,SYNTHETIC DATA PRODUCED USING VALIPOP,"42 Ard Struan Road, Highland",4332,,4119,23,Francisca,22,GENERAL LABOURER,James,POLICE CONSTABLE,Gustavo,5510,1615,GAMEKEEPER,Michael,Andersson,4878,Agnes,5511,Highland,4878,FARM LABOURER,S,4332,5511
Popa,4993,,JUNE,B,4864,,5001,Mary,1940,5001,3613,"1 Christchurch Place, Westwood, East Kilbride",Popa,Stan,Rossi,1,,Rossi,5001,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Larkhall Burn, Glenburn Hall, Jedburgh",3796,,3613,31,Anna,23,BOOT & SHOEMAKER,John,FARMER OF 20 ACRES EMPLOYING 1 FARM SERVANT,Felipe,4993,1616,WOOL SORTER,Nathan,Soto,4864,Clark,4994,Lessudden House Scottish Borders,4864, ,S,3796,4994
Larsson,3845,,JULY,B,4874,,4709,Jane,1940,4709,4037,"1 Mallard Road, Aberdeenshire",Larsson,Martinez,Tkachenko,26,,Tkachenko,4709,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Carr Crescent, Crail, Fife",4094,,4037,26,Eva,20,GARDENER,Tiago,CARTER,Arthur,3845,1617,BLACKSMITH (JOURNEYMAN),David,Sanchez,4874,Jane,3659,Highland,4874,COTTON WEAVER,S,4094,3659
Harris,4346,,APRIL,B,4910,,5033,Marie,1940,5033,4117,"1 Rha Bank, Highland",Harris,Andersson,Larsson,8,,Larsson,5033,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Heatherfield Post Office Road, Portree, Highland",4440,,4117,19,Elizabeth,21, ,William,FISHERMAN,Alexander,4346,1618,UNDERGROUND MANAGER,Bjarni,Morales,4910,Barbara,4222,Aberdeenshire,4910,DRESS MAKER,S,4440,4222
Harutyunyan,3755,,DECEMBER,B,4954,,4863,Caitlin,1940,4863,4952,"1 Great Western Court, Buckie, Moray",Harutyunyan,Rivera,Labba,28,,Labba,4863,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Darwin Road, Westwood, East Kilbride",4953,,4952,24,Margory,23,JOINER,Andrew,STABLE GROOM,David,3755,1619, ,John,,4954,Laura,3760,Allanbank Lauder ,4954,SERVANT,S,4953,3760
Santos,4011,,JANUARY,W,5066,,4783,Mary,1940,4783,4025,"1 Wingate Avenue, Dalry, North Ayrshire",Santos,Prochazka,Greco,23,,Greco,4783,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 St John Street, Calton, Campbeltown",4162,,4025,25,Catherine,17,MINER,James,HERD,David,4011,1621,DAIRY MAN,Louis,Kovacevic,5066,Jessie,4026,Dumfries and Galloway,5066,SCHOLAR,S,4162,4026
Grigoryan,4725,,AUGUST,B,5134,,4903,Irena,1940,4903,4059,"3 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Grigoryan,Kovacevic,Mohamed,28,,Mohamed,4903,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Meikleholm, Langholm, Dumfries and Galloway",4347,,4059,22,Hellen,16,WAREHOUSE PORTER,Andrew,SHOEMAKER,James,4725,1622,RUNNER TO WATER COY,Yusuf,Harris,5134,Jane,3972,Coplandhill Aberdeenshire,5134, ,S,4347,3972
Andersson,4293,,NOVEMBER,D,5178,,5031,Cathrine,1940,5031,4137,"1 Hownam Grange, Scottish Borders",Andersson,Grigoryan,Nguyen,4,,Nguyen,5031,SYNTHETIC DATA PRODUCED USING VALIPOP,"735 Golf Course Road, Girvan, South Ayrshire",4184,,4137,25,Marta,21,PLOUGHMAN,John,CORK CUTTER,Alexr,4293,1623,LABOUR TO MASONS,John,Prochazka,5178,Mary,4722,,5178, ,S,4184,4722
Babic,3653,,JANUARY,B,5186,,4393,Margaret,1940,4393,4195,"1 Prestonfield Road, Annan, Dumfries and Galloway",Babic,Szabo,Visser,14,,Visser,4393,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Golf Course Road, Girvan, South Ayrshire",4420,,4195,37,Bridget,16,MASON LABOURER,James,SHOEMAKER,Robert,3653,1624,AG LAB,Eduardo,Andersson,5186,Agnes,3444,Stranraer Dumfries and Galloway,5186, ,S,4420,3444
Brankov,2212,,JUNE,B,2336,,2215,Catherine,1861,2215,2266,"52 Hazel Road, Abronhill, North Lanarkshire",Brankov,Jarvinen,White,3,,White,2215,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Ashwell Place, Scottish Borders",1696,,2266,38,Ella,27,LABOURER,Jose,AGR LAB,Michael,2212,839,FARMER OF 4 ACRES,Arnas,Bianchi,2336,Catherine,2213,South Ayrshire,2336,MUSLIN BLEACHER,S,1696,2213
Sanchez,3679,,JANUARY,B,4592,,4669,Emma,1941,4669,3265,"1 The Old Creamery, Netherurd House, Scottish Borders",Sanchez,de Boer,Bonik,7,,Bonik,4669,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Brae, Highland",4108,,3265,30,Sarah,33,LABOURER GENL,James,LABOURER,Thomas,3679,1628,DOMESTIC SERVANT,William,Sanchez,4592,Agnes,3838,South Ayrshire,4592, ,S,4108,3838
Sanchez,3679,,MARCH,B,4602,,4573,Lilly,1941,4573,3665,"1 The Old Creamery, Netherurd House, Scottish Borders",Sanchez,de Boer,Morozov,30,,Morozov,4573,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",3650,,3665,32,Sarah,32,JOINER,James,LABOURER,Edward,3679,1629,AG LABOURER,William,Paulauskas,4602,Mary,3838,Blackhouse Peterhead ,4602,FARMER'S DAUR,S,3650,3838
Garcia,3751,,APRIL,B,5064,,4973,Martha,1941,4973,4095,"252 Golf Course Road, Girvan, South Ayrshire",Garcia,Garcia,Wozniak,4,,Wozniak,4973,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 St Nathans Road, Aberdeenshire",4096,,4095,21,Nellie,19,PRIVATE,William,CLERK INLAND REVENUE,William,3751,1630,IRON WORKS LABOURER,John,Larsson,5064,Christina,3788,Highland,5064,SCHOLAR,S,4096,3788
Gauthier,5356,,FEBRUARY,B,5144,,5360,Annie,1941,5360,3615,"1 Dee Terrace, Little Earnock, South Lanarkshire",Gauthier,Dimitrov,Jones,15,,Jones,5360,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Hartrigge Road, Scaurs, Jedburgh",4152,,3615,20,Anna,16,SCHOLAR,David,AG LAB,Alexander,5356,1631,AG LAB,Aaron,Paulauskas,5144,Margaret,5357,North Ayrshire,5144,SCHOLAR,S,4152,5357
Lopez,3795,,JANUARY,B,5214,,4935,Elizabeth,1941,4935,4221,"1 Calder Park, Wester Hailes, City of Edinburgh",Lopez,Krajnc,Andersson,10,,Anderzson,4935,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Sinclair Drive, Soroba, Oban",4327,D,4221,24,Dorina,17,BLEACHER,Willihm,MASTER PAINTER EMPLOYING 2 MEN 1 BOY,James,3795,1632,JUTE WEAVER,Jas,Novak,5214,Sarah,4478,Kirkton Angus,5214,SCHOyAR,S,4327,4478
Schmidt,3939,,DECEMBER,B,5222,,4909,Barbara,1941,4909,4331,"4 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Schmidt,Rodriguez,Bonik,26,,Bonik,4909,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Torrie Wyne, Fife",4500,,4331,23,Agnes,16,CHEMIST & DRUGIST'S SHOP MAN,Archd,PT SOLDIER 92ND HIGHLANDERS,John,3939,1633,CARTER,Thomas,Soto,5222,Bridget,4198,Muirton Perth and Kinross,5222,SCHOLAR,S,4500,4198
Greco,4447,,AUGUST,B,4986,,5301,Margaret,1942,5301,4155,"3 Grubbit Mill, Scottish Borders",Greco,Nguyen,Watanabe,10,,Watanabe,5301,SYNTHETIC DATA PRODUCED USING VALIPOP,"1589 Castle Road, South Ayrshire",4262,,4155,16,Jessie,24,SON OF GAME KEEPER,James,PLUMBER JOURNEYMAN),Andrew,4447,1639,MINISTER OF ALVA FREE CHURCH,Archibald,Smith,4986,Elizabeth,4396,Burnfoot Scottish Borders,4986,DOMESTIC SEV FARM SERV,S,4262,4396
Larsson,4403,,MAY,B,4980,,5299,Hannah,1942,5299,3848,"2 Cora Linn Court, North Ayrshire",Larsson,Dumitru,Huseynov,2,,Huseynov,5299,SYNTHETIC DATA PRODUCED USING VALIPOP,"94 Canalside, City of Edinburgh",4511,,3848,16,Elizabeth,23,SCHOLAR,Mantas,HOUSE PAINTER (MASTER),Hugh,4403,1640,BLEACHER,William,Lopez,4980,Eliza,4318,Baillieston Glasgow City,4980,FLAX POWER LOOM WINDER,S,4511,4318
Moreau,5276,,FEBRUARY,B,4978,,5279,Hellen,1942,5279,4725,"1 Kirk Road, Stane, Shotts",Moreau,Ivanovic,Grigoryan,4,,Grigoryan,5279,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",3972,,4725,19,Grace,21,SCHOLAR,Yusuf, ,Jake,5276,1641,SHOEMAKER,Lucas,Kovacevic,4978,Isabella,5277,Littledean Scottish Borders,4978, ,S,3972,5277
Szabo,4183,,FEBRUARY,B,5146,,5075,Cirsty,1942,5075,4299,"1 Loch Park Road, Target Stables, Hawick",Szabo,WILLIAMS,Demir,19,,Demir,5075,SYNTHETIC DATA PRODUCED USING VALIPOP,"146 Brownsmuir Park, Harryburn House, Lauder",4190,,4299,17,Jane,16,SCHOLAR,John,SILK MERCER,John,4183,1642,AG LABOURER,John,Rivera,5146,Ann,4336,Stevenston North Ayrshire,5146,SCHOLAR,S,4190,4336
Brown,2461,,DECEMBER,B,2534,,2463,Catarina,1861,2463,2311,"82 Catelbock Close, Scotstoun, Kirkliston",Brown,Bonik,Hernandez,13,,Hernandez,2463,SYNTHETIC DATA PRODUCED USING VALIPOP,"237 The Paddock, East Lothian",2312,,2311,27,Mia,23,SERVANT,Rasmus,FISHERMAN,Harry,2461,840,MECHANIC (DISTILLERY),Sergio,Rivera,2534,Jane,2462,Braeleny Farm Stirling,2534,DOMESTIC SERVANT,W,2312,2462
Butkus,5229,,JUNE,B,5189,,5231,Lea,1942,5231,5187,"1 Mosspark Road, Espieside, Coatbridge",Butkus,,De Vries,27,,De Vries,5231,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Farnell Way, Bellyeoman, Dunfermline",5188,,5187,20,Amy,16,PARLIAMENT HOUSE CLERK,Juho, ,Jacob,5229,1643,UPHOSTERER,Adam,Davis,5189,Nikola,5230,Crail Fife,5189,SCHOLAR,S,5188,5230
Morozof,3665,,MAY,B,5167,,4801,Agnes,1942,4801,4378,"2 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Morozov,Paulauskas,Jeffrey,27,,Wilimms,4801,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Radernie Place, Northbank Farm Steadings, Fife",3684,,4378,26,L,16,SHOEMAKER,Williams,AG LABOURER,John,3665,1644,AG LAB,James,Novak,5167,Mary,3650,Highland,5167,SCHOLAR,S,3684,3650
Martinez,5470,,JUNE,B,5304,,5473,Margaret,1942,5473,4057,"99 Anchor Crescent, Seedhill, Paisley",Martinez,Guo,de Boer,17,,de Boer,5473,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Ashgrove Avenue, Maybole, South Ayrshire",4462,,4057,20,Irena,16,BLACKSMITH APPRNT,James,STEAMBOAT MASTER,Daniel,5470,1646,LAST MAKER,Jon,Wozniak,5304,Agnes,5471,Netherurd House Scottish Borders,5304, ,S,4462,5471
Demir,4141,,SEPTEMBER,B,5058,,5127,Agnes,1943,5127,4065,"1 Rowan Road, Soroba, Oban",Demir,Bouchard,WILLIAMS,3,,WILLIAMS,5127,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Holmfoot, Scottish Borders",4030,,4065,18,Julia,20,SCHOLAR,John,LABOURER,Thomas,4141,1655,SALMON FISHER,Conor,Grech,5058,Marion,3885,Girvan South Ayrshire,5058, ,S,4030,3885
Rossi,3563,,JUNE,B,5148,,5015,Jane,1943,5015,4089,"112 Braeheads Road, Lessudden House, Scottish Borders",Rossi,Watanabe,Anderson,17,,Anderson,5015,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Kerse Avenue, North Ayrshire",4182,,4089,21,Isabella,19,TINSMITH,Robert,GROCER,Alexr,3563,1657,SPIRIT DEALER & GROCER,Daniel,Mohamed,5148,Elizabeth,3750,South Ayrshire,5148, ,S,4182,3750
