ID,day,month,year,place of marriage,forename of groom,surname of groom,occupation of groom,marital status of groom,age of groom,address of groom,forename of bride,surname of bride,occupation of bride,marital status of bride,age of bride,address of bride,groom's father's forename,groom's father's surname,groom's father's occupation,if groom's father deceased,groom's mother's forename,groom's mother's maiden surname,if groom's mother deceased,bride's father's forename,bride's father's surname,bride's father's occupation,if bride's father deceased,bride's mother's forename,bride's mother's maiden surname,if bride's mother deceased,notes1,gdeath,bdeath,GROOM_IDENTITY,BRIDE_IDENTITY,GROOM_MOTHER_IDENTITY,GROOM_FATHER_IDENTITY,BRIDE_MOTHER_IDENTITY,BRIDE_FATHER_IDENTITY,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_BIRTH_RECORD_IDENTITY,GROOM_FATHER_BIRTH_RECORD_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY
1399,22,SEPTEMBER,1923,,George,Soto,COAL MINER,B,26,"1 Burial Brae, Anstruther Easter, Anstruther",Annie,Jones,VISITOR,S,31,"1 Burial Brae, Anstruther Easter, Anstruther",Thomas,Soto,GAMEKEEPER,,Jeannie,Mohamed,,Kenneth,Jones,BOOKSELLER WAREHOUSMAN,,Catherine,Maisuradze,,SYNTHETIC DATA PRODUCED USING VALIPOP,4311,4196,4311,4196,3162,3047,3346,3143,4311,4196,3047,3162,3143,3346
1400,31,DECEMBER,1923,"North Ayrshire",Archibald,Prochazka,RAILWAY LAB,B,28,"1 Salisbury Terrace, Broomhill, Aberdeen City",Margaret,Varga, ,S,28,"12 Bank Street, Greenlaw Station House, Greenlaw",Charles,Prochazka,HEDDLER & MOUNTER,,Isabella,Rodriguez,,Jeffrey,Varga,COOPER,,Jessie,Flores,,SYNTHETIC DATA PRODUCED USING VALIPOP,4185,4192,4185,4192,3084,3087,3232,4077,4185,4192,3087,3084,4077,3232
1401,12,AUGUST,1923,"Highland",Adam,WILLIAMS,BLACK SMITH,B,25,"1 Ailsa Place, Girvan, South Ayrshire",Isabella,Andersson,DOMESTIC SERVANT,S,24,"1 Tortorston Drive, Coplandhill, Aberdeenshire",John,WILLIAMS,COTTON WEAVER (JOUR),,Alice,Jimenez,,Nathan,Andersson,SPIRIT MERCHANT,,Isabella,Jones,,SYNTHETIC DATA PRODUCED USING VALIPOP,4245,4264,4245,4264,3924,3109,3384,3602,4245,4264,3109,3924,3602,3384
1402,21,DECEMBER,1923,"Braehouse Scottish Borders",John,Kobayashi,FARMER'S SON,B,19,"2 Henderson Road, Troon, South Ayrshire",Helen,Bonik,DOMESTIC SERVANT,S,21,"1 Meadow Park, Dumfries and Galloway",Lukas,Kobayashi,TURNER,,Christina,Sepp,,Alexr,Bonik,JOINER,,Isabella,Rojas,,SYNTHETIC DATA PRODUCED USING VALIPOP,4365,4334,4365,4334,3714,4145,3412,3413,4365,4334,4145,3714,3413,3412
1403,1,NOVEMBER,1923,"Carngour St Andrews ",James,Bonik,TAILOR,B,25,"1 Meadow Park, Dumfries and Galloway",Janet,Santos,HOUSEKEEPER,S,22,"1 Benview Terrace, Clackmannanshire",Alexr,Bonik,JOINER,,Isabella,Rojas,,Davide,Santos,SHEPHARD,,Isabella,Schroeder,,SYNTHETIC DATA PRODUCED USING VALIPOP,4265,4330,4265,4330,3412,3413,3302,4007,4265,4330,3413,3412,4007,3302
1404,13,MAY,1923,"Soroba Oban ",William,Andersson,IRON MINER,B,26,"1 Tortorston Drive, Coplandhill, Aberdeenshire",Elizabeth,Novak,DOMESTIC SERV,S,21,"2 Glen Gardens, Braeleny Farm, Callander",Nathan,Andersson,SPIRIT MERCHANT,,Isabella,Jones,,John,Novak,CARTER,,Margaret,Anderson,,SYNTHETIC DATA PRODUCED USING VALIPOP,4221,4327,4221,4327,3384,3602,3032,2737,4221,4327,3602,3384,2737,3032
1405,9,DECEMBER,1923,"Maybole South Ayrshire",William,Schroeder,TAILOR JOURNEYMAN,B,21,"61 The Gardens, East Lothian",Margaret,Visser,SCHOLAR,S,16,"122 Kirkhill, Dumfries and Galloway",Donald,Schroeder,THREAD LAPPER LINEN,,Elizabeth,Jones,,James,Visser,SHOP PORTER,,Catherine,Jones,,SYNTHETIC DATA PRODUCED USING VALIPOP,4339,4496,4339,4496,3590,3501,3616,3053,4339,4496,3501,3590,3053,3616
1406,8,MARCH,1923,"Fife",Archd,Bonik,MESSAGE PORTER,B,21,"1 Millbank Road, Stranraer, Dumfries and Galloway",Barbara,Soto,SCHOLAR,S,16,"1 Millhill Road, Perth and Kinross",Wm,Bonik,MINISTER OF HOLY TOWN ESTABLISHED CHURCH,,Agnes,Sanchez,,John,Soto,BLACKSMITH,,Regina,Williams,,SYNTHETIC DATA PRODUCED USING VALIPOP,4331,4500,4331,4500,3388,3357,4379,3595,4331,4500,3357,3388,3595,4379
1414,3,JANUARY,1924,"Lessudden House Scottish Borders",David,Garcia,LAWYERS GENERAL CLERK,B,27,"2 Plainfield Terrace, Monksford House, Scottish Borders",Isabella,Watanabe, ,W,40,"1 Dalmilling, South Ayrshire",Jose,Garcia,LABOURER,,Ann,CONLLY,,Lachlan,Watanabe,AG LAB,,Amy,Liepins,,SYNTHETIC DATA PRODUCED USING VALIPOP,4189,3750,4189,3750,3176,3514,3398,2959,4189,3750,3514,3176,2959,3398
1415,27,OCTOBER,1924,"South Broomage Stenhousemuir ",Aidan,Ilves,IRON MINER,B,31,"1 Chapel, Fife",Elizabeth,Soto,DAIRY MAID,S,27,"1 Cowden Road, Perth and Kinross",Ren,Ilves,COOPER,,Hannah,Castillo,,Thomas,Soto,GAMEKEEPER,,Jeannie,Mohamed,,SYNTHETIC DATA PRODUCED USING VALIPOP,4275,4240,4275,4240,4273,4272,3162,3047,4275,4240,4272,4273,3047,3162
1416,8,JANUARY,1924,"Highland",James,Kiss,SHOEMAKER,B,26,"1 Roseberry Drive, Coplandhill, Aberdeenshire",Margaret,Bonik,FACTORY WINDER,S,22,"1 Brae, Highland",Aidan,Kiss,CARTER,,Margaret,Soto,,James,Bonik,DOMESTIC SERVANT,,Emma,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4241,4338,4241,4338,3168,3548,4108,3265,4241,4338,3548,3168,3265,4108
1417,26,MARCH,1924,"Aberfeldy Perth and Kinross",Bence,Muratovic, ,B,33,"1 Whitfield, Dundee City",Christina,Hansen, ,S,22,"1 Caltrop Place, Hillpark, Bannockburn",Cameron,Muratovic, ,,Camille,,,Lorenzo,Hansen,CATTLE DEALER,,Caroline,Greco,,SYNTHETIC DATA PRODUCED USING VALIPOP,5111,4340,5111,4340,5110,5107,3620,3810,5111,4340,5107,5110,3810,3620
1418,11,NOVEMBER,1924,"Braeleny Farm Callander ",Edward,Harris,FISHERMAN,B,22,"46 Marmion Drive, Caskieberran, Fife",Lea,Tran,DOM SERV,S,22,"1 Braehouse, Scottish Borders",Jack,Harris,AGRICULTURAL LAB,,Maia,Schulz,,Tamas,Tran,ENGINE FILLER,,Leah,Varga,,SYNTHETIC DATA PRODUCED USING VALIPOP,4357,4582,4357,4582,4342,4341,4580,4579,4357,4582,4341,4342,4579,4580
1424,28,FEBRUARY,1925,"Troon South Ayrshire",Archibald,Greco,SON,B,19,"253 Golf Course Road, Girvan, South Ayrshire",Jessie,Nguyen,FARMER'S WIFE,S,21,"1 Edderston Ridge, Kingsmuir, Peebles",James,Greco,PLOUGHMAN,,Isabella,Markovic,,Patrick,Nguyen,TENNANT,,Jane,Sepp,,SYNTHETIC DATA PRODUCED USING VALIPOP,4447,4396,4447,4396,3072,2745,3508,3368,4447,4396,2745,3072,3368,3508
1425,24,SEPTEMBER,1925,"Buailledubh Na h-Eileanan Siar",James,Paulauskas,TEACHER,B,48,"1 Morven Crescent, Blackhouse, Peterhead",Ana,Wozniak,GENERAL SERV,S,21,"1 Langholm View, East Ayrshire",James,Paulauskas,DAY LABOURER,,Reka,Mohamed,,Roberto,Wozniak, ,,Emma,Schroeder,,SYNTHETIC DATA PRODUCED USING VALIPOP,3621,4791,3621,4791,3009,2925,4788,4787,3621,4791,2925,3009,4787,4788
1426,8,DECEMBER,1925,"Fife",Emre,Markovic,COMMISSION AGENTS CLERK,B,22,"1 Broom Road, Inverclyde",Catherine,Bonik,BONNET MAKER,S,20,"1 Brae, Highland",Ren,Markovic,GARDENER,,Ana,Abdullayev,,James,Bonik,DOMESTIC SERVANT,,Emma,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4757,4492,4757,4492,4752,4751,4108,3265,4757,4492,4751,4752,3265,4108
1427,22,NOVEMBER,1925,"Wilton Dean Scottish Borders",Mikel,Wozniak,MACHINE MEKER (JOUY),B,22,"1 Langholm View, East Ayrshire",Laura,Smith,SCHOLAR,S,19,"1 Claggan, Highland",Roberto,Wozniak, ,,Emma,Schroeder,,Thomas,Smith,WRIGHT,,Michela,Saar,,SYNTHETIC DATA PRODUCED USING VALIPOP,4792,4689,4792,4689,4788,4787,4685,4684,4792,4689,4787,4788,4684,4685
1428,24,JULY,1925,"Highland",Luke,White,AGR LB,B,23,"1 Wairdlaw, Blackburn, West Lothian",Mary,Larsson, ,S,19,"1 Mallard Road, Aberdeenshire",David,White,FARMER OF 3 ACRES,,Maricel,Zielinski,,David,Larsson,CARTER,,Eva,Martinez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4922,4498,4922,4498,4920,4919,3659,3845,4922,4498,4919,4920,3845,3659
1435,8,JULY,1926,"South Ayrshire",William,Markovic,FARMER'S SON,B,32,"2 Braehouse, Scottish Borders",Margaret,Prochazka, ,S,40,"1 Shore Street, Portsoy, Aberdeenshire",Hugh,Markovic,BOOK & STATIONERY AGENT,,Annie,Harutyunyan,,Liam,Prochazka,GARDNER,,Martha,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,4135,3882,4135,3882,3324,3303,3172,3477,4135,3882,3303,3324,3477,3172
1436,12,JANUARY,1926,"Troon South Ayrshire",Geo,Mohamed,GROCER,B,34,"2 Benrig Manse, Scottish Borders",Isabella,Larsson,DRESS MAKER,S,42,"1 Modley Court, Ellon, Aberdeenshire",Victor,Mohamed,FISHERMAN,,Amy,Nguyen,,John,Larsson,GENERAL LAB,,Mary,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4093,3874,4093,3874,3369,3008,2940,3003,4093,3874,3008,3369,3003,2940
1437,3,MAY,1926,"Plantation Highland",Donald,Petrauskas,CLERK (RAILWAY),B,37,"1 Demondale Place, Warddykes, Arbroath",Jeanie,Szabo,GARDENER'S WIFE,S,41,"1 St Clair Terrace, Troon, South Ayrshire",Joshua,Petrauskas,FAR & FISHERM RENT $ 6 0 0,,Ivana,Perera,,Thomas,Szabo,FARMER OF 62 ACRES EMPLOYING 3 MEN AND 1 WOMAN,,Isabella,Rossi,,SYNTHETIC DATA PRODUCED USING VALIPOP,4021,3872,4021,3872,3061,3210,3278,2671,4021,3872,3210,3061,2671,3278
1438,15,JANUARY,1926,"Baillieston Glasgow City",Alexr,Visser,MILLER'S SON,B,25,"1590 Castle Road, South Ayrshire",Chiara,Johnson, ,S,33,"1 Langton Crescent, Calderwood, East Calder",Edward,Visser, ,,Jane,Brown,,Ryan,Johnson,WORSTED DAUR,,Alice,Wozniak,,SYNTHETIC DATA PRODUCED USING VALIPOP,4289,5118,4289,5118,3300,3111,5117,5116,4289,5118,3111,3300,5116,5117
1439,4,FEBRUARY,1926,"Buckie Moray",Pedro,Moreau,POWDER MAKER,B,38,"1 Harbour Road, Tayport, Fife",Jemima,Mohamed, ,S,34,"1 Londubh Road, Highland",Aaron,Moreau,FARMER OF 100 AC EMPLOYING TWO LAB,,Lena,Perez,,John,Mohamed,BRICK MAKER,,Jean,Rodriguez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4611,4052,4611,4052,4610,4609,3004,3045,4611,4052,4609,4610,3045,3004
1440,15,MAY,1926,"Buailledubh Na h-Eileanan Siar",Alexr,Kovacevic,RAILWAY LABOURER,B,34,"2 Haddo Crescent, Aberdeenshire",Margaret,Prochazka,HOUSE KEEPER,S,27,"1 Shore Street, Portsoy, Aberdeenshire",John,Kovacevic,JUTE WEAVER,,Annie,Kovalchuk,,Liam,Prochazka,GARDNER,,Martha,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,4033,4242,4033,4242,3296,2923,3172,3477,4033,4242,2923,3296,3477,3172
1441,24,SEPTEMBER,1926,"West End Hawick ",John,WILLIAMS,PLOUGHMAN,B,22,"1 Ailsa Place, Girvan, South Ayrshire",Natasa,Morales,SERV,S,27,"1 Mount Crescent, Dufftown, Moray",John,WILLIAMS,COTTON WEAVER (JOUR),,Alice,Jimenez,,Veeti,Morales,SERVANT,,Aoi,Carvalho,,SYNTHETIC DATA PRODUCED USING VALIPOP,4421,4439,4421,4439,3924,3109,4437,4436,4421,4439,3109,3924,4436,4437
1442,30,AUGUST,1926,"Moray",Robert,Prochazka,CARTER,B,25,"2 Morven Crescent, Blackhouse, Peterhead",Isabella,Schroeder,SCHOLAR,S,16,"38 Raonmor, Highland",Alexr,Prochazka,FISHER,,Maggie,Harutyunyan,,James,Schroeder,UPHOLSTERER,,Alicia,Zarins,,SYNTHETIC DATA PRODUCED USING VALIPOP,4283,4566,4283,4566,2988,3175,3656,3467,4283,4566,3175,2988,3467,3656
1443,9,MAY,1926,,Neil,Wozniak,SCHOLAR,B,16,"3 Cora Linn Court, North Ayrshire",Jane,Soto,SCHOLAR,S,18,"3 Cora Linn Court, North Ayrshire",John,Wozniak,MANAGER CITY UNION LOAN,,Mary,Carvalho,,John,Soto,PORTER,,Regina,Williams,,SYNTHETIC DATA PRODUCED USING VALIPOP,4733,4664,4733,4664,3420,3407,4379,3595,4733,4664,3407,3420,3595,4379
1448,5,FEBRUARY,1927,,Noah,Popa,WRITER'S CLERK (GENERAL),B,25,"2 The Old Creamery, Netherurd House, Scottish Borders",Margt,Garcia,DOMESTIC SERVANT,S,30,"2 The Old Creamery, Netherurd House, Scottish Borders",Nathan,Popa,COTTON WEAVER,,Anna,Stan,,Jose,Garcia,COAL MINER,,Ann,CONLLY,,SYNTHETIC DATA PRODUCED USING VALIPOP,5003,4312,5003,4312,4994,4993,3176,3514,5003,4312,4993,4994,3514,3176
1449,9,FEBRUARY,1927,"Allanbank Lauder ",Tobias,Krajnc,HOUSE WRIGHT EMPLOY 2 MEN,B,32,"1 Lochwood Loan, Croftfoot, Moodiesburn",Elizabeth,Santana, ,D,29,"2 Coplandhill, Aberdeenshire",Aaron,Krajnc,LABOURER RETIRED,,Ella,Kaya,,Joshua,Santana,BANNER OF COWS,,Regina,Jimenez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4474,4314,4474,4314,4472,4471,3926,3816,4474,4314,4471,4472,3816,3926
1450,20,SEPTEMBER,1927,"Roanheads Peterhead ",Robert,Kovacevic,PLOUGHMAN,B,28,"1 Abbotsford Crescent, Northbank Farm Steadings, St Andrews",Janet,Bonik,DOMESTIC SERV,S,24,"1 Brae, Highland",Gabriel,Kovacevic,COAL MINER,,Mary,Sanchez,,James,Bonik,DOMESTIC SERVANT,,Emma,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4310,4422,4310,4422,3144,3599,4108,3265,4310,4422,3599,3144,3265,4108
1451,9,APRIL,1927,"Grubbit Mill Scottish Borders",James,Szabo,PLOUGHMAN,B,31,"253 Golf Course Road, Girvan, South Ayrshire",Isabella,Visser,DRESS MAKER,S,23,"122 Kirkhill, Dumfries and Galloway",Willia,Szabo,PAINTER (JOURNEYMAN),,Isabella,Markovic,,James,Visser,SHOP PORTER,,Catherine,Jones,,SYNTHETIC DATA PRODUCED USING VALIPOP,4187,4428,4187,4428,3072,2989,3616,3053,4187,4428,2989,3072,3053,3616
1452,20,NOVEMBER,1927,,Malcolm,Dumitru,FARMERS SON,B,25,"734 Golf Course Road, Girvan, South Ayrshire",Annie,Prochazka,DRESS MAKER,S,23,"734 Golf Course Road, Girvan, South Ayrshire",Jack,Dumitru,AG LAB,,Margaret,Rossi,,James,Prochazka,COTTON WEAVER,,Christina,Novak,,SYNTHETIC DATA PRODUCED USING VALIPOP,4493,4538,4493,4538,3534,4148,3908,3909,4493,4538,4148,3534,3909,3908
1453,7,APRIL,1927,"Glenury Stonehaven ",Martin,Smith,AG LAB,B,21,"1 Claggan, Highland",Barbara,WILLIAMS, ,S,20,"1 Ailsa Place, Girvan, South Ayrshire",Thomas,Smith,WRIGHT,,Michela,Saar,,John,WILLIAMS,COTTON WEAVER (JOUR),,Alice,Jimenez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4690,4526,4690,4526,4685,4684,3924,3109,4690,4526,4684,4685,3109,3924
1459,29,SEPTEMBER,1928,"The Grange Scottish Borders",Frances,Jones,BLOCK PRINTER,B,34,"1 Preston Gardens, Annan, Dumfries and Galloway",Ellen,Schroeder,SHAWL FRINGER,W,33,"2 Queen Street, Calton, Campbeltown",Kenneth,Jones,BOOKSELLER WAREHOUSMAN,,Catherine,Maisuradze,,Sebastian,Schroeder,LODGER,,Ann,Kristiansen,,SYNTHETIC DATA PRODUCED USING VALIPOP,4163,4188,4163,4188,3346,3143,3074,3733,4163,4188,3143,3346,3733,3074
1460,13,AUGUST,1928,"Girvan South Ayrshire",Angus,Visser,SCHOLAR,B,18,"122 Kirkhill, Dumfries and Galloway",Kate,Ilves,PLOUGHMANS WIFE,S,21,"1 Chapel, Fife",James,Visser,SHOP PORTER,,Catherine,Jones,,Ren,Ilves,COOPER,,Hannah,Castillo,,SYNTHETIC DATA PRODUCED USING VALIPOP,4625,4520,4625,4520,3616,3053,4273,4272,4625,4520,3053,3616,4272,4273
1461,22,JULY,1928,"Cowdenknowes North Lodge Earlston ",Alexander,Bonik,FISHERMAN,B,23,"1 Milton Wynd, South Ayrshire",Ingrid,White,SCHOLAR,S,20,"1 Wairdlaw, Blackburn, West Lothian",Walter,Bonik,LABOURER,,Mary,Garcia,,David,White,FARMER OF 3 ACRES,,Maricel,Zielinski,,SYNTHETIC DATA PRODUCED USING VALIPOP,4401,4921,4401,4921,3712,3669,4920,4919,4401,4921,3669,3712,4919,4920
1462,25,APRIL,1928,"East Lothian",William,Nguyen,WAITER,B,24,"1 Caltrop Place, Hillpark, Bannockburn",Sarah,Tran, ,S,21,"1 Braehouse, Scottish Borders",Mikkel,Nguyen,HAIR DRESSER,,Caroline,Greco,,Tamas,Tran,ENGINE FILLER,,Leah,Varga,,SYNTHETIC DATA PRODUCED USING VALIPOP,4427,4581,4427,4581,3620,3374,4580,4579,4427,4581,3374,3620,4579,4580
1463,14,JANUARY,1928,"Tillicoultry Clackmannanshire",John,Greco,AGRI LABR,B,27,"1 Larkhall Burn, Glenburn Hall, Jedburgh",Mary,Hansen,FARMER DAUR,S,17,"2 Common Road, Cellardyke, Fife",Peter,Greco,MASON,,Nahia,White,,Lorenzo,Hansen,CATTLE DEALER,,Ann,Jones,,SYNTHETIC DATA PRODUCED USING VALIPOP,4232,4528,4232,4528,3333,2933,3504,3810,4232,4528,2933,3333,3810,3504
1464,7,MAY,1928,"Highland",Harry,Soto,COACHMAN,B,36,"1 Cowden Road, Perth and Kinross",Jessie,Paulauskas,DRASS MAKER,S,21,"2 Haddo Crescent, Aberdeenshire",Thomas,Soto,GAMEKEEPER,,Jeannie,Mohamed,,James,Paulauskas,CROFTER (8 ACRES),,Annie,Kovalchuk,,SYNTHETIC DATA PRODUCED USING VALIPOP,4091,4522,4091,4522,3162,3047,3296,3105,4091,4522,3047,3162,3105,3296
1465,30,JULY,1928,"Broomridge Stirling",Nico,Kuznetsov,AG LABOURER,B,29,"1 Sandyhill Crescent, Carngour, St Andrews",Elizabeth,Demir,SCHOLAR,S,16,"1 Rowan Road, Soroba, Oban",Olivier,Kuznetsov,COTTON TWISTER,,Chloe,Delos Santos,,Conor,Demir,FISHERMAN,,Julia,Bouchard,,SYNTHETIC DATA PRODUCED USING VALIPOP,4886,4666,4886,4666,4881,4880,3885,4141,4886,4666,4880,4881,4141,3885
1469,30,JANUARY,1929,"East Ayrshire",Markus,Markovic, ,B,19,"1 Broom Road, Inverclyde",Lillas,Garcia,DOMESTIC SERVT,S,29,"2 Plainfield Terrace, Monksford House, Scottish Borders",Ren,Markovic,SAWYER,,Ana,Abdullayev,,Jose,Garcia,COAL MINER,,Ann,CONLLY,,SYNTHETIC DATA PRODUCED USING VALIPOP,4755,4284,4755,4284,4752,4751,3176,3514,4755,4284,4751,4752,3514,3176
1470,26,DECEMBER,1929,"Girvan South Ayrshire",Thomas,Brown,STUDENT OF DIVINITY,B,26,"1 Calfward Park, Allanbank, Lauder",Margaret,Smith,OUT WORK FARM SERV,S,25,"1 Weensmoore, Scottish Borders",John,Brown,COTTON WEAVER,,Noemie,Iliev,,Robert,Smith,BREWER,,Julie,Zhu,,SYNTHETIC DATA PRODUCED USING VALIPOP,4363,4390,4363,4390,4305,3497,3627,3389,4363,4390,3497,4305,3389,3627
1471,6,APRIL,1929,"Wallacetown Ayr ",William,Brown,SCHOLAR,B,19,"1 Calfward Park, Allanbank, Lauder",Ava,Popa,SCHOLAR,S,19,"1 Christchurch Place, Westwood, East Kilbride",John,Brown,COTTON WEAVER,,Noemie,Iliev,,Nathan,Popa,COTTON WEAVER,,Anna,Stan,,SYNTHETIC DATA PRODUCED USING VALIPOP,4623,5000,4623,5000,4305,3497,4994,4993,4623,5000,3497,4305,4993,4994
1476,17,DECEMBER,1930,"Aberdeenshire",Alexander,Bonik,TEACHER,B,23,"1 Brae, Highland",Margaret,Nguyen, ,S,27,"1 Edderston Ridge, Kingsmuir, Peebles",James,Bonik,DOMESTIC SERVANT,,Emma,Sanchez,,Patrick,Nguyen,RETIRED SOLICITOR,,Jane,Sepp,,SYNTHETIC DATA PRODUCED USING VALIPOP,4527,4424,4527,4424,4108,3265,3508,3368,4527,4424,3265,4108,3368,3508
1477,29,MARCH,1930,"Braeleny Farm Stirling",Archibald,Prochazka,HAND LOOM WEAVER SILK COTTON & WORSTED,W,37,"631 Manse Road, North Ayrshire",Isabel,Harris,TWISTER IN FACTORY,S,28,"46 Marmion Drive, Caskieberran, Fife",Charles,Prochazka,HEDDLER & MOUNTER,,Isabella,Rodriguez,,Jack,Harris,AGRICULTURAL LAB,,Maia,Schulz,,SYNTHETIC DATA PRODUCED USING VALIPOP,4185,4417,4185,4417,3084,3087,4342,4341,4185,4417,3087,3084,4341,4342
1478,29,MARCH,1930,"Highland",Juan,Wozniak,HEPLER IN STABLE,B,29,"1 Langholm View, East Ayrshire",Mary,Paulauskas,SCHOLAR,S,18,"2 Haddo Crescent, Aberdeenshire",Roberto,Wozniak, ,,Emma,Schroeder,,James,Paulauskas,CROFTER (8 ACRES),,Annie,Kovalchuk,,SYNTHETIC DATA PRODUCED USING VALIPOP,4793,4618,4793,4618,4788,4787,3296,3105,4793,4618,4787,4788,3105,3296
1479,27,AUGUST,1930,"Waterside Aberdeenshire",John,Jimenez,MUSLIN WEAVER,B,22,"56 The Fieldings, East Ayrshire",Elizabeth,Flores,SCHOLAR,S,18,"36 Hill Place, Highland",Lachlan,Jimenez,COLLIER,,Sarah,Martinez,,James,Flores, ,,Jane,Markovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,4569,4704,4569,4704,3742,3925,3500,3173,4569,4704,3925,3742,3173,3500
1480,25,JANUARY,1930,"Perth and Kinross",James,Smith,HOUSE PROPRIETOR,B,21,"1 Weensmoore, Scottish Borders",Eva,Prochazka,SCHOLAR,S,17,"1 Northbank Farm Steadings, St Andrews, Fife",Robert,Smith,BREWER,,Julie,Zhu,,James,Prochazka,COTTON WEAVER,,Christina,Novak,,SYNTHETIC DATA PRODUCED USING VALIPOP,4558,4742,4558,4742,3627,3389,3908,3909,4558,4742,3389,3627,3909,3908
1487,27,DECEMBER,1931,"Auchreoch Stirling",Ethan,Kuznetsov,PAINTER,B,22,"1 Sandyhill Crescent, Carngour, St Andrews",Mary,Jones, ,S,30,"1 Preston Gardens, Annan, Dumfries and Galloway",Olivier,Kuznetsov,TAILOR,,Chloe,Delos Santos,,Kenneth,Jones,BOOKSELLER WAREHOUSMAN,,Catherine,Maisuradze,,SYNTHETIC DATA PRODUCED USING VALIPOP,4884,4292,4884,4292,4881,4880,3346,3143,4884,4292,4880,4881,3143,3346
1488,1,FEBRUARY,1931,"Harryburn House Lauder ",John,Demir,FISHERMAN,W,33,"2 Holmfoot, Scottish Borders",Aada,Popa,POWER LOOM COTTON WEAVER,S,33,"1 Christchurch Place, Westwood, East Kilbride",Conor,Demir,FISHERMAN,,Julia,Bouchard,,Nathan,Popa,COTTON WEAVER,,Anna,Stan,,SYNTHETIC DATA PRODUCED USING VALIPOP,4299,5005,4299,5005,3885,4141,4994,4993,4299,5005,4141,3885,4993,4994
1489,15,APRIL,1931,"Dumfries and Galloway",John,Dumitru,AG LABOURER,B,28,"3 Weensmoore, Scottish Borders",Elizabeth,Jones, ,S,27,"1 Preston Gardens, Annan, Dumfries and Galloway",Jack,Dumitru,AG LAB,,Margaret,Rossi,,Kenneth,Jones,BOOKSELLER WAREHOUSMAN,,Catherine,Maisuradze,,SYNTHETIC DATA PRODUCED USING VALIPOP,4397,4418,4397,4418,3534,4148,3346,3143,4397,4418,4148,3534,3143,3346
1491,15,DECEMBER,1931,"Dumfries and Galloway",James,Wozniak,BLEACHER,B,24,"1 Mansefield, Auchreoch, Stirling",Isabella,Bonik,WOOD TURNERS WIFE,S,21,"1 Meadow Park, Dumfries and Galloway",John,Wozniak,SMITH'S HAMMERMAN,,Mary,Jones,,Alexr,Bonik,JOINER,,Isabella,Rojas,,SYNTHETIC DATA PRODUCED USING VALIPOP,4499,4590,4499,4590,3794,3666,3412,3413,4499,4590,3666,3794,3413,3412
1493,3,MAY,1931,"South Ayrshire",Alexr,Maisuradze,SCHOLAR,B,20,"2 John Simpson Drive, Stranraer, Dumfries and Galloway",Jessie,Nguyen,SCHOLAR,S,20,"1 Edderston Ridge, Kingsmuir, Peebles",Angus,Maisuradze,BLACKSMITH EMPLOYING 2 MEN 4 BOYS & A CLERK,,Mary,Soto,,Patrick,Nguyen,RETIRED SOLICITOR,,Jane,Sepp,,SYNTHETIC DATA PRODUCED USING VALIPOP,4673,4658,4673,4658,3942,3973,3508,3368,4673,4658,3973,3942,3368,3508
1494,1,JANUARY,1931,"Haughead Scottish Borders",Peter,Tkachenko,JOURNEYMAN BAKER,B,23,"1 Northbank Farm Steadings, St Andrews, Fife",Betsy,Sanchez,SCHOLAR AT HOME,S,19,"1 Gemmell Crescent, Braehead, Ayr",Lukas,Tkachenko,HAWKER,,Ellen,Novak,,Matthew,Sanchez,COACH DRIVER,,Janet,Sepp,,SYNTHETIC DATA PRODUCED USING VALIPOP,4537,4670,4537,4670,3878,4040,3836,3915,4537,4670,4040,3878,3915,3836
1502,19,NOVEMBER,1932,,James,Rossi,AG LAB,B,34,"1 Peelnick, Scottish Borders",Janet,Bonik,FARM SERVANT,W,32,"1 Peelnick, Scottish Borders",Daniel,Rossi,GROCER,,Alba,Martinez,,James,Bonik,DOMESTIC SERVANT,,Emma,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4361,4422,4361,4422,3660,3563,4108,3265,4361,4422,3563,3660,3265,4108
